Review,Rating,cleaned_review,sentiment_score,sentiment
Doctor was very kind and helpful,5,doctor kind helpful,0.78,Positive
Waiting time is too long,2,waiting time long,-0.05,Negative
Staff behavior was rude,1,staff behavior rude,-0.3,Negative
Clean hospital and fast service,4,clean hospital fast service,0.2833333333333333,Positive
Poor hygiene in rooms,1,poor hygiene room,-0.4,Negative
Doctor explained everything clearly,5,doctor explained everything clearly,0.09999999999999999,Positive
Reception staff was not helpful,2,reception staff helpful,0.0,Neutral
Very professional doctors,5,professional doctor,0.13,Positive
Long queue and delay in treatment,2,long queue delay treatment,-0.05,Negative
Nurses were very caring,5,nurse caring,0.2,Positive
Bad experience overall,1,bad experience overall,-0.3499999999999999,Negative
Quick diagnosis and treatment,4,quick diagnosis treatment,0.3333333333333333,Positive
Facilities were not clean,2,facility clean,-0.18333333333333335,Negative
Excellent service and support,5,excellent service support,1.0,Positive
Doctor was rude and impatient,1,doctor rude impatient,-0.25,Negative
Appointment system is very slow,2,appointment system slow,-0.39000000000000007,Negative
Friendly staff and good care,5,friendly staff good care,0.5375,Positive
Expensive treatment charges,3,expensive treatment charge,-0.5,Negative
Very satisfied with service,5,satisfied service,0.65,Positive
Waiting area was crowded,2,waiting area crowded,0.0,Neutral
Good hospital environment,4,good hospital environment,0.7,Positive
Unprofessional behavior by staff,1,unprofessional behavior staff,0.0,Neutral
Doctor listened carefully,5,doctor listened carefully,-0.1,Negative
Treatment was ineffective,2,treatment ineffective,0.0,Neutral
Hygiene needs improvement,2,hygiene need improvement,0.0,Neutral
Fast and efficient service,5,fast efficient service,0.2,Positive
Staff was supportive,4,staff supportive,0.5,Positive
Poor management system,1,poor management system,-0.4,Negative
Highly recommended hospital,5,highly recommended hospital,0.16,Positive
Delay in emergency response,1,delay emergency response,0.0,Neutral
Very clean and organized,5,clean organized,0.47666666666666674,Positive
Doctor was not attentive,2,doctor attentive,-0.2,Negative
Good experience overall,4,good experience overall,0.35,Positive
Too much waiting time,1,much waiting time,0.2,Positive
Helpful nurses and staff,5,helpful nurse staff,0.0,Neutral
Billing process is confusing,2,billing process confusing,-0.3,Negative
Professional and polite doctors,5,professional polite doctor,0.1,Positive
Rooms were not maintained,2,room maintained,0.0,Neutral
Very happy with treatment,5,happy treatment,1.0,Positive
Lack of proper communication,2,lack proper communication,0.0,Neutral
Doctor gave clear instructions,5,doctor gave clear instruction,0.09999999999999999,Positive
Poor service quality,1,poor service quality,-0.4,Negative
Staff was very rude,1,staff rude,-0.39,Negative
Satisfied with treatment,4,satisfied treatment,0.5,Positive
Long waiting hours,1,long waiting hour,-0.05,Negative
Excellent facilities,5,excellent facility,1.0,Positive
Average experience,3,average experience,-0.15,Negative
Doctor was very helpful,5,doctor helpful,0.2,Positive
Bad hygiene conditions,1,bad hygiene condition,-0.6999999999999998,Negative
Friendly environment,4,friendly environment,0.375,Positive
The doctor was exceptionally kind and caring,5,doctor exceptionally kind caring,0.6,Positive
The wait time was absolutely unbearable,1,wait time absolutely unbearable,0.2,Positive
Front desk staff were extremely disrespectful,1,front desk staff extremely disrespectful,-0.125,Negative
Impressed by the cleanliness and speed,4,impressed cleanliness speed,1.0,Positive
Room hygiene was far below standards,1,room hygiene far standard,0.1,Positive
The physician explained the diagnosis perfectly,5,physician explained diagnosis perfectly,1.0,Positive
Receptionists were quite dismissive,2,receptionist quite dismissive,0.0,Neutral
High level of professionalism from doctors,5,high level professionalism doctor,0.16,Positive
Significant delays in getting treatment,2,significant delay getting treatment,0.375,Positive
The nursing team was incredibly compassionate,5,nursing team incredibly compassionate,0.9,Positive
I had a terrible experience from start to finish,1,terrible experience start finish,-1.0,Negative
Diagnosis was rapid and effective,4,diagnosis rapid effective,0.6,Positive
The facility felt dirty and unkept,2,facility felt dirty unkept,-0.6,Negative
Outstanding support and medical service,5,outstanding support medical service,0.25,Positive
The doctor acted very impatient and short,1,doctor acted impatient short,-0.13,Negative
The booking process is incredibly sluggish,2,booking process incredibly sluggish,0.9,Positive
Warm staff and top-tier medical care,5,warm staff top tier medical care,0.3,Positive
Medical bills were higher than expected,3,medical bill higher expected,0.049999999999999996,Positive
Completely happy with the care received,5,completely happy care received,0.8,Positive
The waiting lobby was overstuffed and loud,2,waiting lobby overstuffed loud,0.1,Positive
The hospital atmosphere was pleasant,4,hospital atmosphere pleasant,0.7333333333333334,Positive
